date,1. open,2. high,3. low,4. close,5. volume
2018-05-14,8686.9653,8886.1817,8280.3963,8696.58,117087.0
2018-05-13,8478.4676,8767.0101,8208.81,8481.6,85006.0
2018-05-12,8413.0298,9018.38,8190.5122,8411.42,130464.0
2018-05-11,8930.0055,9393.0,8345.6449,9020.99,126810.0
2018-05-10,9314.7829,9395.5087,8974.62,9308.49,62232.0
2018-05-09,9188.9685,9450.0,8972.8803,9167.69,75580.0
2018-05-08,9363.5328,9634.5,9048.8144,9359.52,91366.0
2018-05-07,9644.7615,9918.41,9182.3687,9623.54,95084.0
2018-05-06,9859.8968,9964.3958,9429.9316,9823.28,85199.0
2018-05-05,9705.9652,9994.2297,9527.38,9696.57,85643.0
2018-05-04,9738.7446,9817.0532,9165.19,9732.43,63421.0
2018-05-03,9244.3981,9824.222,8975.23,9222.0,62356.0
2018-05-02,9071.1083,9271.0862,8815.91,9066.9,63109.0
2018-05-01,9244.7227,9443.96,8835.7279,9242.17,86077.0
2018-04-30,9407.4622,9538.75,9127.9935,9393.99,73025.0
2018-04-29,9348.7016,9562.3272,8854.47,9345.11,107702.0
2018-04-28,9000.0145,9472.7451,8883.6769,8921.43,87252.0
2018-04-27,9271.4222,9387.6639,8647.29,9274.48,105238.0
2018-04-26,8873.5378,9755.53,8658.0632,8864.99,155737.0
2018-04-25,9550.5037,9737.16,8752.2022,9648.0,184373.0
2018-04-24,8950.5646,9726.9489,8771.22,8946.95,137039.0
2018-04-23,8843.6293,9036.52,8760.0,8789.96,65581.0
2018-04-22,8935.3068,9060.1701,8608.0,8920.71,69721.0
2018-04-21,8873.9016,9057.603,8216.9,8861.0,88943.0
2018-04-20,8287.8438,8903.1198,8074.44,8271.31,126366.0
2018-04-19,8183.7726,8313.0551,7870.35,8172.84,92954.0
2018-04-18,7910.0748,8248.1034,7806.81,7890.87,93261.0
2018-04-17,8077.2466,8424.99,7842.5682,8048.15,99740.0
2018-04-16,8363.9521,8422.8133,7901.9981,8354.22,115703.0
2018-04-15,8018.8872,8426.4426,7835.0,8000.41,91453.0
2018-04-14,7895.1778,8239.33,7753.32,7896.92,101868.0
2018-04-13,7930.5513,8233.8524,6758.45,7923.78,176891.0
2018-04-12,6955.2868,8016.0081,6762.1627,6940.94,181286.0
2018-04-11,6857.2144,7013.3163,6653.21,6835.67,82668.0
2018-04-10,6797.9022,7175.83,6611.49,6780.1,80479.0
2018-04-09,7013.3321,7166.477,6624.5574,7027.26,116140.0
2018-04-08,6916.8375,7137.2082,6600.99,6904.9,65647.0
2018-04-07,6622.4455,7085.4853,6510.0,6618.33,104994.0
2018-04-06,6786.6197,6928.7,6519.0637,6771.69,105664.0
2018-04-05,6806.4842,7430.0,6584.8346,6799.95,131603.0
2018-04-04,7358.7821,7506.84,6728.2271,7416.27,123070.0
2018-04-03,7065.6408,7520.4202,6759.96,7052.76,139743.0
2018-04-02,6827.9754,7136.8258,6427.16,6813.52,131402.0
2018-04-01,6968.1597,7231.73,6444.9697,6928.62,148631.0
2018-03-31,6856.702,7302.35,6550.0,6850.0,122441.0
2018-03-30,7098.6465,7968.0,6578.9321,7088.38,212366.0
2018-03-29,7944.7397,8104.98,6921.0557,7932.41,200854.0
2018-03-28,7810.9328,8211.62,7736.8624,7791.7,78638.0
2018-03-27,8143.0967,8500.0,7735.6959,8149.66,135771.0
2018-03-26,8393.9959,8680.0,7846.1583,8453.9,117623.0
2018-03-25,8550.1038,9020.0,8384.9743,8547.0,62603.0
2018-03-24,8927.7984,9038.6461,8265.0,8920.79,98353.0
2018-03-23,8718.7816,9099.59,8330.5803,8704.67,98873.0
2018-03-22,8896.9981,9188.1,8475.501,8893.79,134923.0
2018-03-21,8914.6007,9190.0606,8313.01,8904.02,95031.0
2018-03-20,8588.1312,9057.426,8114.17,8596.93,132704.0
2018-03-19,8228.1068,8737.0032,7325.37,8188.24,142198.0
2018-03-18,7860.6715,8356.4,7290.7672,7860.83,153718.0
2018-03-17,8274.7885,8613.06,7763.9444,8258.54,100224.0
2018-03-16,8259.091,8619.6723,7682.0,8265.05,152800.0
2018-03-15,8205.2056,9356.14,7718.0071,8196.69,158671.0
2018-03-14,9150.8011,9482.79,7962.9994,9142.32,141919.0
2018-03-13,9138.5704,9892.0,8742.07,9120.75,151325.0
2018-03-12,9507.0722,9873.696,8450.0,9535.04,132677.0
2018-03-11,8793.2277,9743.0545,8467.255,8791.47,125153.0
2018-03-10,9244.4701,9521.8697,8366.0,9230.0,130337.0
2018-03-09,9284.1131,10150.0,8395.4176,9285.32,199895.0
2018-03-08,9899.5891,10911.78,9078.1787,9913.03,153665.0
2018-03-07,10731.1739,11420.01,9669.1202,10723.76,154716.0
2018-03-06,11429.4948,11688.0,10572.3344,11419.24,106560.0
2018-03-05,11508.686,11712.4717,11054.91,11463.27,64951.0
2018-03-04,11465.2325,11545.7559,11022.85,11445.0,56133.0
2018-03-03,11042.5018,11537.9132,10774.01,11029.99,62491.0
2018-03-02,10929.2678,11196.5445,10223.41,10903.13,62010.0
2018-03-01,10329.5901,11064.75,10232.0698,10314.9,76552.0
